city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
haradok,by,2017-09-08 13:41:20,29.98,55.46,46.35,91.0,32.0,7.43
harlingen,nl,2017-09-08 13:28:00,5.42,53.17,60.8,93.0,90.0,5.82
harper,lr,2017-09-08 13:41:21,-7.72,4.38,77.94,100.0,92.0,10.78
hauterive,ca,2017-09-08 13:00:00,-73.69,45.57,64.4,59.0,75.0,10.29
havre-saint-pierre,ca,2017-09-08 13:00:00,-63.6,50.23,64.4,52.0,75.0,6.93
henties bay,na,2017-09-08 13:41:21,14.28,-22.12,57.51,93.0,0.0,4.18
herat,af,2017-09-08 13:41:22,62.2,34.35,67.68,38.0,0.0,10.0
hermanus,za,2017-09-08 13:41:22,19.23,-34.42,44.46,96.0,32.0,2.06
hithadhoo,mv,2017-09-08 13:41:22,73.08,-0.6,84.33,100.0,80.0,17.05
hobyo,so,2017-09-08 13:41:22,48.53,5.35,77.31,83.0,20.0,18.61
hofn,is,2017-09-08 13:00:00,-15.21,64.25,51.8,95.0,75.0,5.82
huarmey,pe,2017-09-08 13:41:23,-78.15,-10.07,72.54,52.0,8.0,4.41
hunza,pk,2017-09-08 13:25:00,6.68,53.09,59.0,93.0,75.0,12.75
husavik,is,2017-09-08 13:00:00,-17.34,66.04,50.0,76.0,75.0,6.93
iberia,pe,2017-09-08 13:41:24,-69.58,-11.35,75.78,100.0,20.0,1.28
illoqqortoormiut,gl,2017-09-08 12:55:00,12.49,41.9,68.0,72.0,0.0,1.12
ilulissat,gl,2017-09-08 12:50:00,-51.1,69.22,35.6,74.0,40.0,11.41
imbituba,br,2017-09-08 13:00:00,-48.67,-28.24,71.6,64.0,0.0,13.87
inongo,cd,2017-09-08 13:41:25,18.27,-1.95,73.26,94.0,76.0,1.5
iqaluit,ca,2017-09-08 13:00:00,-68.51,63.75,41.0,80.0,40.0,10.29
itacoatiara,br,2017-09-08 13:41:26,-58.44,-3.14,92.61,46.0,8.0,5.19
itaituba,br,2017-09-08 13:00:00,-55.98,-4.28,96.8,44.0,20.0,4.7
itarema,br,2017-09-08 13:41:26,-39.95,-2.88,85.05,53.0,0.0,15.59
jacareacanga,br,2017-09-08 13:00:00,-57.75,-6.22,95.0,50.0,0.0,3.36
jamestown,sh,2017-09-08 13:41:27,-5.72,-15.94,67.32,100.0,80.0,14.81
japura,br,2017-09-08 13:00:00,-52.57,-23.41,91.4,19.0,0.0,5.82
jaru,br,2017-09-08 13:41:27,-62.47,-10.44,93.15,38.0,88.0,2.39
juazeiro,br,2017-09-08 13:00:00,-40.5,-9.41,86.0,35.0,20.0,13.87
kabinda,cd,2017-09-08 13:41:28,24.48,-6.13,74.79,77.0,80.0,2.84
kachikau,bw,2017-09-08 13:41:28,24.12,-17.68,64.71,44.0,0.0,6.76
kadi,in,2017-09-08 13:00:00,72.33,23.3,84.2,70.0,20.0,5.3
kaduqli,sd,2017-09-08 13:41:34,29.72,11.02,71.91,96.0,76.0,2.62
kakonko,tz,2017-09-08 13:41:35,30.96,-3.28,70.92,51.0,80.0,5.86
kalemie,cd,2017-09-08 13:41:35,29.19,-5.95,76.95,90.0,0.0,1.83
kambove,cd,2017-09-08 13:41:36,26.6,-10.88,63.09,43.0,0.0,6.31
kamenka,ru,2017-09-08 13:41:36,42.77,51.32,54.09,88.0,0.0,10.11
kansanshi,zm,2017-09-08 13:41:37,26.43,-12.1,59.13,57.0,0.0,4.74
kaoma,zm,2017-09-08 13:41:37,24.8,-14.78,65.97,39.0,0.0,8.88
karaul,ru,2017-09-08 13:41:37,48.35,58.31,56.16,98.0,92.0,4.18
karkaralinsk,kz,2017-09-08 13:41:38,75.47,49.41,36.9,68.0,8.0,5.53
karlskoga,se,2017-09-08 13:20:00,14.52,59.33,53.6,93.0,75.0,9.17
karonga,mw,2017-09-08 13:41:38,33.93,-9.93,75.69,89.0,24.0,11.01
kashi,cn,2017-09-08 13:00:00,75.98,39.45,69.8,30.0,0.0,8.95
kavaratti,in,2017-09-08 13:41:39,72.64,10.57,78.75,100.0,80.0,13.02
kayanga,tz,2017-09-08 13:00:00,100.13,6.4,77.0,94.0,75.0,6.2
kedrovyy,ru,2017-09-08 13:00:00,91.82,56.17,39.2,86.0,0.0,11.18
